iter	Logloss
0	0.6890599213
1	0.6854806536
2	0.6811058797
3	0.676826917
4	0.6752618913
5	0.671364578
6	0.6672320535
7	0.6630164031
8	0.6595291451
9	0.6562960061
10	0.6529238207
11	0.6493020798
12	0.6453402417
13	0.641988632
14	0.6390780153
15	0.6358475761
16	0.6326459027
17	0.6289756569
18	0.6262791585
19	0.6236750553
20	0.6207756042
21	0.6177726893
22	0.6156257671
23	0.6122972287
24	0.6098421174
25	0.6069956319
26	0.6040833131
27	0.6014258906
28	0.5997902763
29	0.5970964052
30	0.594589491
31	0.5920957436
32	0.5905269786
33	0.5896159693
34	0.5873233104
35	0.5852976866
36	0.5832111558
37	0.58102027
38	0.5790728339
39	0.5773352641
40	0.5751851572
41	0.5735386991
42	0.5717911335
43	0.5697626847
44	0.5675829396
45	0.5656386645
46	0.5640602499
47	0.5627491783
48	0.561325162
49	0.559412602
50	0.557421522
51	0.5564936729
52	0.5544998058
53	0.5528509944
54	0.5515696478
55	0.5501895582
56	0.5490430063
57	0.5472198865
58	0.5456791504
59	0.5446598776
60	0.5435251326
61	0.5420461219
62	0.5402247704
63	0.5386424589
64	0.5374584375
65	0.5360864746
66	0.5344282859
67	0.533090427
68	0.5317699456
69	0.5307008215
70	0.5296191428
71	0.5278598781
72	0.5269047927
73	0.525803474
74	0.5244122266
75	0.5232333393
76	0.5223069922
77	0.5212601699
78	0.519857382
79	0.5190503442
80	0.5179054689
81	0.5171099132
82	0.5160956701
83	0.5153680671
84	0.5144299518
85	0.5132400827
86	0.5121323386
87	0.5109550412
88	0.5100214425
89	0.5092317742
90	0.5078311182
91	0.5067867251
92	0.506358385
93	0.5052822204
94	0.5045066168
95	0.5038082161
96	0.5030874182
97	0.5024028624
98	0.5014303903
99	0.5005861009
100	0.4994552452
101	0.4984334867
102	0.4973782467
103	0.4971218697
104	0.4967697382
105	0.495782697
106	0.4949576504
107	0.4941064827
108	0.4928755268
109	0.4919620367
110	0.4910157139
111	0.490085811
112	0.4895648609
113	0.4885457347
114	0.4877210215
115	0.4868970558
116	0.4861142206
117	0.485289214
118	0.4844302084
119	0.4837379358
120	0.4829759091
121	0.4825062211
122	0.4816428391
123	0.4807350587
124	0.4801143671
125	0.4794679327
126	0.4786062779
127	0.4778357696
128	0.4770655259
129	0.4762608321
130	0.475475004
131	0.4747300249
132	0.4739274731
133	0.473107988
134	0.4725420836
135	0.4720532027
136	0.4715233675
137	0.470839008
138	0.4700584072
139	0.4694457747
140	0.4687936531
141	0.4681887382
142	0.4674919194
143	0.4669525385
144	0.4662878441
145	0.4658142917
146	0.4652878434
147	0.4645826038
148	0.4638633373
149	0.4631737124
150	0.4627514488
151	0.4619347982
152	0.4612861071
153	0.4608825653
154	0.4603820273
155	0.4599104418
156	0.4592531955
157	0.4588312356
158	0.458621321
159	0.4580768596
160	0.4574895587
161	0.4569334619
162	0.4563994682
163	0.4557141876
164	0.4550341768
165	0.454916789
166	0.454230501
167	0.453800705
168	0.4537026015
169	0.453279341
170	0.4528624274
171	0.4524769969
172	0.4521894083
173	0.4517563731
174	0.4512928365
175	0.4508097914
176	0.4507697156
177	0.4500984077
178	0.4494326661
179	0.4492616903
180	0.448956545
181	0.4484455466
182	0.4479297731
183	0.4474131546
184	0.4467997358
185	0.4465895146
186	0.4462264763
187	0.445625677
188	0.445074176
189	0.4448244625
190	0.4443920755
191	0.4439635639
192	0.443639722
193	0.4433184951
194	0.4428943423
195	0.442269378
196	0.4419003522
197	0.4415212358
198	0.4407985792
199	0.4404551177
200	0.4398270199
201	0.4393586849
202	0.4390710126
203	0.4385727294
204	0.4381357516
205	0.4378360165
206	0.4373013311
207	0.4368521225
208	0.4364303147
209	0.4359408954
210	0.435527285
211	0.4349912507
212	0.4346837134
213	0.4341854072
214	0.4338549036
215	0.4332567102
216	0.4327475639
217	0.4321391113
218	0.4317411191
219	0.4313240259
220	0.4312901999
221	0.430947258
222	0.4306168904
223	0.4300540129
224	0.4297289735
225	0.4294207977
226	0.4291995252
227	0.4288431393
228	0.4285448643
229	0.4282463801
230	0.4280024149
231	0.4276774384
232	0.4272719963
233	0.4268415407
234	0.426464633
235	0.4260096333
236	0.4256568818
237	0.4252003224
238	0.4249841002
239	0.4246343383
240	0.4242230674
241	0.4238346855
242	0.4234998912
243	0.4232218435
244	0.4226218525
245	0.4225002796
246	0.4222322514
247	0.4219125411
248	0.4215059718
249	0.421146287
250	0.420875906
251	0.420652928
252	0.4203668813
253	0.4199918216
254	0.4193826623
255	0.4189619822
256	0.4186936455
257	0.4183923961
258	0.4180606633
259	0.4175769463
260	0.4172641725
261	0.4168004537
262	0.4164737396
263	0.4161936424
264	0.4160233464
265	0.4156135181
266	0.4153168584
267	0.4149808539
268	0.4147853759
269	0.4145150167
270	0.4144523596
271	0.414116247
272	0.4140618214
273	0.4138897957
274	0.4136778807
275	0.4134366224
276	0.4131617334
277	0.4125616333
278	0.4122839264
279	0.4119580601
280	0.4117382463
281	0.4113092424
282	0.4109869802
283	0.4106413171
284	0.4102627251
285	0.4099148573
286	0.4094865683
287	0.4094576549
288	0.4091461187
289	0.4087843299
290	0.4085262647
291	0.4081712186
292	0.4077609693
293	0.4074989867
294	0.4073593993
295	0.406988148
296	0.4064756598
297	0.4061314426
298	0.405742227
299	0.4054704376
300	0.4052087328
301	0.4048984248
302	0.4044307633
303	0.4041723564
304	0.4037900333
305	0.4034534978
306	0.4032737957
307	0.4030213228
308	0.4026314028
309	0.4023395084
310	0.401790097
311	0.4015245853
312	0.4013269669
313	0.4010592664
314	0.4006300297
315	0.4003027608
316	0.3999839334
317	0.3996781035
318	0.399485312
319	0.3993684196
320	0.3989970647
321	0.3987713436
322	0.3983647658
323	0.3980856196
324	0.3978380444
325	0.3974366609
326	0.3972364787
327	0.3969618271
328	0.396811898
329	0.3965215164
330	0.3961284507
331	0.3958838939
332	0.3955803474
333	0.3952480282
334	0.3947526732
335	0.3945278025
336	0.3942255906
337	0.3939333341
338	0.3937186926
339	0.3934452171
340	0.3930940346
341	0.393061513
342	0.3928004596
343	0.3924704928
344	0.3922699616
345	0.3919300941
346	0.3916614725
347	0.3914901864
348	0.3912782674
349	0.3908037814
350	0.3906197972
351	0.3902208994
352	0.3898891833
353	0.3894998052
354	0.3892896666
355	0.3889932637
356	0.3885483417
357	0.3884801754
358	0.3880349703
359	0.3878921394
360	0.3877415252
361	0.3875881051
362	0.3873853589
363	0.3871993521
364	0.3870322279
365	0.3867502488
366	0.3865365483
367	0.3863368131
368	0.386171195
369	0.3858857641
370	0.3857253209
371	0.3855495346
372	0.3853044652
373	0.38508156
374	0.3847288607
375	0.3845520923
376	0.3843421069
377	0.3840783488
378	0.3837998698
379	0.3834202847
380	0.3832272041
381	0.3829080136
382	0.3826691711
383	0.3824594286
384	0.3821892387
385	0.3818776033
386	0.3815620321
387	0.3813077264
388	0.3810098908
389	0.3806092015
390	0.380416065
391	0.3799522199
392	0.3797241887
393	0.379514396
394	0.3793910493
395	0.3788860876
396	0.3786880073
397	0.3782307815
398	0.3780582799
399	0.3777589697
400	0.3776148061
401	0.3774428463
402	0.3772219477
403	0.3769606419
404	0.3767875906
405	0.3765073827
406	0.3763435162
407	0.3759947336
408	0.3758567018
409	0.3755467012
410	0.3753952596
411	0.3751677336
412	0.3749334507
413	0.3747639956
414	0.374546509
415	0.3743933094
416	0.3741106694
417	0.3737718442
418	0.3734651865
419	0.3732577474
420	0.3730536657
421	0.3727938431
422	0.3725081662
423	0.3722871584
424	0.3721856107
425	0.3721437779
426	0.3719204274
427	0.371573899
428	0.371243409
429	0.3710094163
430	0.3705815165
431	0.3705815033
432	0.3704593945
433	0.3701861986
434	0.3699052975
435	0.3696134298
436	0.3693718814
437	0.3689707582
438	0.3687988808
439	0.3685617698
440	0.3682552019
441	0.367979901
442	0.3677889195
443	0.367583071
444	0.3674063614
445	0.3671611712
446	0.3670315143
447	0.3668414498
448	0.3668009481
449	0.3666876012
450	0.3661934398
451	0.3661084141
452	0.3658897362
453	0.3656776864
454	0.3655100449
455	0.3653344941
456	0.3650277178
457	0.3649453825
458	0.3646662952
459	0.3644368706
460	0.3642645253
461	0.3640747482
462	0.363882382
463	0.3637176389
464	0.3634786771
465	0.363191326
466	0.3630079863
467	0.3627626455
468	0.362433124
469	0.3620161876
470	0.3619949435
471	0.3618182368
472	0.3614360183
473	0.3613558556
474	0.3611317046
475	0.3609517878
476	0.3607375754
477	0.3604481499
478	0.3603827959
479	0.3601318371
480	0.3596762875
481	0.3596080021
482	0.3594757003
483	0.3593290395
484	0.3592135559
485	0.3589498415
486	0.3585681606
487	0.3584268587
488	0.3581848669
489	0.3580039335
490	0.357817062
491	0.3577153195
492	0.3574014191
493	0.3571022343
